Closing_3,Closing_2,Closing_1,EMA_5_3,EMA_5_2,EMA_5_1,RSI_3,RSI_2,RSI_1,MACD_3,MACD_2,MACD_1,BB_upper_3,BB_upper_2,BB_upper_1,BB_lower_3,BB_lower_2,BB_lower_1
41.3125,41.61000061035156,41.630001068115234,39.63906679051734,40.296044730462086,40.74069684301314,66.96986152592997,67.6142590496944,70.65312909152439,0.1887438243839696,0.3777632495952332,0.5231458756695844,40.71766080303924,41.19894706536031,41.475497903185854,36.05858889178498,35.79030273627543,36.122001944226255
41.61000061035156,41.630001068115234,42.8125,40.296044730462086,40.74069684301314,41.4312978953421,67.6142590496944,70.65312909152439,78.80183188121896,0.3777632495952332,0.5231458756695844,0.7254182653007604,41.19894706536031,41.475497903185854,42.18064515091046,35.79030273627543,36.122001944226255,35.99160483383076
41.630001068115234,42.8125,43.54499816894531,40.74069684301314,41.4312978953421,42.13586465320984,70.65312909152439,78.80183188121896,78.72106850552726,0.5231458756695844,0.7254182653007604,0.9340598117903268,41.475497903185854,42.18064515091046,42.93230104329095,36.122001944226255,35.99160483383076,35.896198941450265
42.8125,43.54499816894531,43.560001373291016,41.4312978953421,42.13586465320984,42.610576893236896,78.80183188121896,78.72106850552726,77.61876541872782,0.7254182653007604,0.9340598117903268,1.0880776914460242,42.18064515091046,42.93230104329095,43.58141609143682,35.99160483383076,35.896198941450265,35.834334030633485
43.54499816894531,43.560001373291016,42.73500061035156,42.13586465320984,42.610576893236896,42.65205146560845,78.72106850552726,77.61876541872782,70.2036343862246,0.9340598117903268,1.0880776914460242,1.1305351979338525,42.93230104329095,43.58141609143682,43.96902308848775,35.896198941450265,35.834334030633485,35.88747715565287
43.560001373291016,42.73500061035156,42.602500915527344,42.610576893236896,42.65205146560845,42.63553461558142,77.61876541872782,70.2036343862246,68.41961363719092,1.0880776914460242,1.1305351979338525,1.1403462578692896,43.58141609143682,43.96902308848775,44.28218617375575,35.834334030633485,35.88747715565287,35.989564085643664
42.73500061035156,42.602500915527344,42.35749816894531,42.65205146560845,42.63553461558142,42.54285580003605,70.2036343862246,68.41961363719092,73.47886403605607,1.1305351979338525,1.1403462578692896,1.115493208144137,43.96902308848775,44.28218617375575,44.49033936629035,35.88747715565287,35.989564085643664,36.20991087785027
42.602500915527344,42.35749816894531,42.72249984741211,42.63553461558142,42.54285580003605,42.602737149161406,68.41961363719092,73.47886403605607,74.11194277720979,1.1403462578692896,1.115493208144137,1.1124262152383722,44.28218617375575,44.49033936629035,44.65216584797864,35.989564085643664,36.20991087785027,36.570334380903205
42.35749816894531,42.72249984741211,42.54499816894531,42.54285580003605,42.602737149161406,42.58349082242271,73.47886403605607,74.11194277720979,75.20181134121003,1.115493208144137,1.1124262152383722,1.0831864006882057,44.49033936629035,44.65216584797864,44.79591635749421,36.20991087785027,36.570334380903205,36.85433350517669
42.72249984741211,42.54499816894531,42.70000076293945,42.602737149161406,42.58349082242271,42.62232746926163,74.11194277720979,75.20181134121003,71.56082413468086,1.1124262152383722,1.0831864006882057,1.0602985888015652,44.65216584797864,44.79591635749421,44.95046318691191,36.570334380903205,36.85433350517669,37.096286691017774
42.54499816894531,42.70000076293945,42.60499954223633,42.58349082242271,42.62232746926163,42.61655149358653,75.20181134121003,71.56082413468086,74.21118619553603,1.0831864006882057,1.0602985888015652,1.0227049226940963,44.79591635749421,44.95046318691191,45.06765552339019,36.85433350517669,37.096286691017774,37.34309429350435
42.70000076293945,42.60499954223633,42.73249816894531,42.62232746926163,42.61655149358653,42.6552003853728,71.56082413468086,74.21118619553603,78.96608148451168,1.0602985888015652,1.0227049226940963,0.9917672693536944,44.95046318691191,45.06765552339019,45.18106285825034,37.096286691017774,37.34309429350435,37.58243659243325
42.60499954223633,42.73249816894531,43.00749969482422,42.61655149358653,42.6552003853728,42.77263348852327,74.21118619553603,78.96608148451168,68.24537515336769,1.0227049226940963,0.9917672693536944,0.9781636197200356,45.06765552339019,45.18106285825034,45.192649616543136,37.34309429350435,37.58243659243325,38.03909972732893
42.73249816894531,43.00749969482422,42.76499938964844,42.6552003853728,42.77263348852327,42.77008878889833,78.96608148451168,68.24537515336769,62.58165426131358,0.9917672693536944,0.9781636197200356,0.9370135722184472,45.18106285825034,45.192649616543136,45.11764424996535,37.58243659243325,38.03909972732893,38.54260507864792
43.00749969482422,42.76499938964844,43.24250030517578,42.77263348852327,42.77008878889833,42.92755929432415,68.24537515336769,62.58165426131358,65.97320838135545,0.9781636197200356,0.9370135722184472,0.9321865302895418,45.192649616543136,45.11764424996535,44.93741166199549,38.03909972732893,38.54260507864792,39.22958777342931
42.76499938964844,43.24250030517578,43.557498931884766,42.77008878889833,42.92755929432415,43.13753917351102,62.58165426131358,65.97320838135545,58.91144542853623,0.9370135722184472,0.9321865302895418,0.9429095470879574,45.11764424996535,44.93741166199549,44.92614903060982,38.54260507864792,39.22958777342931,39.65260043533256
43.24250030517578,43.557498931884766,43.58250045776367,42.92755929432415,43.13753917351102,43.28585960159524,65.97320838135545,58.91144542853623,50.539987410729886,0.9321865302895418,0.9429095470879574,0.942559786848136,44.93741166199549,44.92614903060982,44.73185286585899,39.22958777342931,39.65260043533256,40.29764656956582
43.557498931884766,43.58250045776367,43.71749877929688,43.13753917351102,43.28585960159524,43.4297393274958,58.91144542853623,50.539987410729886,52.19202446496179,0.9429095470879574,0.942559786848136,0.9423134329723196,44.92614903060982,44.73185286585899,44.12354984601635,39.65260043533256,40.29764656956582,41.41069965044361
