Closing_3,Closing_2,Closing_1,SMA_5_3,SMA_5_2,SMA_5_1,EMA_5_3,EMA_5_2,EMA_5_1,RSI_3,RSI_2,RSI_1,MACD_3,MACD_2,MACD_1,BB_upper_3,BB_upper_2,BB_upper_1,BB_lower_3,BB_lower_2,BB_lower_1
106.37999725341795,104.43000030517578,102.77999877929688,,,,105.44523614370874,105.1068241975311,104.33121572478636,55.25137530504311,51.94198084545337,49.954985857112575,1.1086163965281486,0.9706089273484791,0.7197982935638265,109.16181574953644,109.12586954184806,108.24479935687394,99.07918461667448,99.44613058022225,100.86520049053816
104.43000030517578,102.77999877929688,105.73999786376952,,,,105.1068241975311,104.33121572478636,104.80080977111407,51.94198084545337,49.954985857112575,57.55218393503987,0.9706089273484791,0.7197982935638265,0.7512166892908851,109.12586954184806,108.24479935687394,108.25360282393696,99.44613058022225,100.86520049053816,101.23739677933452
102.77999877929688,105.73999786376952,107.22000122070312,,,105.30999908447265,104.33121572478636,104.80080977111407,105.60720692097708,49.954985857112575,57.55218393503987,54.814815061063406,0.7197982935638265,0.7512166892908851,0.8853343133989284,108.24479935687394,108.25360282393696,108.43822024325178,100.86520049053816,101.23739677933452,101.56877972623064
105.73999786376952,107.22000122070312,106.02999877929688,,105.30999908447265,105.23999938964843,104.80080977111407,105.60720692097708,105.74813754041702,57.55218393503987,54.814815061063406,51.3672730704161,0.7512166892908851,0.8853343133989284,0.8853939744152939,108.25360282393696,108.43822024325178,108.4645642680311,101.23739677933452,101.56877972623064,101.86543527420524
107.22000122070312,106.02999877929688,105.2699966430664,105.30999908447265,105.23999938964843,105.40799865722656,105.60720692097708,105.74813754041702,105.58875724130016,54.814815061063406,51.3672730704161,48.2135217667104,0.8853343133989284,0.8853939744152939,0.8147238065160849,108.43822024325178,108.4645642680311,108.48765655834023,101.56877972623064,101.86543527420524,101.94234298389608
106.02999877929688,105.2699966430664,105.66999816894533,105.23999938964843,105.40799865722656,105.98599853515626,105.74813754041702,105.58875724130016,105.6158375505152,51.3672730704161,48.2135217667104,45.48672333349203,0.8853939744152939,0.8147238065160849,0.7819797932005912,108.4645642680311,108.48765655834023,108.50592211120384,101.86543527420524,101.94234298389608,102.13107740051493
105.2699966430664,105.66999816894533,105.25,105.40799865722656,105.98599853515626,105.88799896240235,105.58875724130016,105.6158375505152,105.49389170034348,48.2135217667104,45.48672333349203,48.97570188437704,0.8147238065160849,0.7819797932005912,0.7139100736421113,108.48765655834023,108.50592211120384,108.40108969274593,101.94234298389608,102.13107740051493,102.48090951379704
105.66999816894533,105.25,106.88999938964844,105.98599853515626,105.88799896240235,105.8219985961914,105.6158375505152,105.49389170034348,105.9592609301118,45.48672333349203,48.97570188437704,50.41666740252653,0.7819797932005912,0.7139100736421113,0.783269531582306,108.50592211120384,108.40108969274593,108.2397077437141,102.13107740051493,102.48090951379704,103.12629109661792
105.25,106.88999938964844,106.80999755859376,105.88799896240235,105.8219985961914,105.97799835205078,105.49389170034348,105.9592609301118,106.24283980627249,48.97570188437704,50.41666740252653,51.44071956332614,0.7139100736421113,0.783269531582306,0.822302926276592,108.40108969274593,108.2397077437141,108.35654217593812,102.48090951379704,103.12629109661792,103.18945620663024
106.88999938964844,106.80999755859376,106.9000015258789,105.8219985961914,105.97799835205078,106.30399932861329,105.9592609301118,106.24283980627249,106.46189371280796,50.41666740252653,51.44071956332614,49.334655912066026,0.783269531582306,0.822302926276592,0.8506934759056577,108.2397077437141,108.35654217593812,108.47297634916508,103.12629109661792,103.18945620663024,103.2250224606494
106.80999755859376,106.9000015258789,108.22000122070312,105.97799835205078,106.30399932861329,106.81399993896484,106.24283980627249,106.46189371280796,107.047929548773,51.44071956332614,49.334655912066026,58.04302946305808,0.822302926276592,0.8506934759056577,0.9685413924283068,108.35654217593812,108.47297634916508,108.78364198370625,103.18945620663024,103.2250224606494,103.12435667352032
106.9000015258789,108.22000122070312,108.16999816894533,106.30399932861329,106.81399993896484,107.3979995727539,106.46189371280796,107.047929548773,107.4219524221638,49.334655912066026,58.04302946305808,65.00284953160013,0.8506934759056577,0.9685413924283068,1.0458460249775785,108.47297634916508,108.78364198370625,108.87342917781984,103.2250224606494,103.12435667352032,103.08056938785398
108.22000122070312,108.16999816894533,107.1500015258789,106.81399993896484,107.3979995727539,107.45,107.047929548773,107.4219524221638,107.33130212340218,58.04302946305808,65.00284953160013,52.56496925879546,0.9685413924283068,1.0458460249775785,1.0131266057333477,108.78364198370625,108.87342917781984,108.98948896039435,103.12435667352032,103.08056938785398,103.11150972734978
108.16999816894533,107.1500015258789,109.41000366210938,107.3979995727539,107.45,107.97000122070312,107.4219524221638,107.33130212340218,108.0242026363046,65.00284953160013,52.56496925879546,66.25325879906873,1.0458460249775785,1.0131266057333477,1.156231201458013,108.87342917781984,108.98948896039435,109.47873707626614,103.08056938785398,103.11150972734978,102.89226206924168
107.1500015258789,109.41000366210938,110.97000122070312,107.45,107.97000122070312,108.78400115966797,107.33130212340218,108.0242026363046,109.00613549777076,52.56496925879546,66.25325879906873,76.8877102214777,1.0131266057333477,1.156231201458013,1.3796180124525392,108.98948896039435,109.47873707626614,110.35148222002536,103.11150972734978,102.89226206924168,102.49651735272852
109.41000366210938,110.97000122070312,111.58999633789062,107.97000122070312,108.78400115966797,109.45800018310547,108.0242026363046,109.00613549777076,109.8674224444774,66.25325879906873,76.8877102214777,72.69199103413459,1.156231201458013,1.3796180124525392,1.5883723265691572,109.47873707626614,110.35148222002536,111.19700328744172,102.89226206924168,102.49651735272852,102.09299610220673
