Closing_3,Closing_2,Closing_1,EMA_5_3,EMA_5_2,EMA_5_1,RSI_3,RSI_2,RSI_1,MACD_3,MACD_2,MACD_1,BB_upper_3,BB_upper_2,BB_upper_1,BB_lower_3,BB_lower_2,BB_lower_1
3.4347500801086426,3.59375,3.618249893188477,3.537121696623526,3.5559977977490176,3.5767484962288374,46.36707162118122,49.01517312034182,47.173187278570175,0.0294226098854979,0.024998253847106,0.023201405081668,4.065107070922601,4.062476620951732,4.031213012862439,3.187692916870368,3.209148373326222,3.2822619760749383
3.59375,3.618249893188477,3.7295000553131104,3.5559977977490176,3.5767484962288374,3.627665682590262,49.01517312034182,47.173187278570175,49.16401630560507,0.024998253847106,0.023201405081668,0.0304038709183274,4.062476620951732,4.031213012862439,4.02916099057912,3.209148373326222,3.2822619760749383,3.3167889930176817
3.618249893188477,3.7295000553131104,3.7487499713897705,3.5767484962288374,3.627665682590262,3.6680271121900985,47.173187278570175,49.16401630560507,50.05293422726631,0.023201405081668,0.0304038709183274,0.0372359514640669,4.031213012862439,4.02916099057912,4.036360510395374,3.2822619760749383,3.3167889930176817,3.3259644665257078
3.7295000553131104,3.7487499713897705,3.825000047683716,3.627665682590262,3.6680271121900985,3.720351424021304,49.16401630560507,50.05293422726631,52.68110593776016,0.0304038709183274,0.0372359514640669,0.0482470069639324,4.02916099057912,4.036360510395374,4.047114220049061,3.3167889930176817,3.3259644665257078,3.348135766599498
3.7487499713897705,3.825000047683716,3.685499906539917,3.6680271121900985,3.720351424021304,3.708734251527509,50.05293422726631,52.68110593776016,47.32187150153101,0.0372359514640669,0.0482470069639324,0.0451958624698605,4.036360510395374,4.047114220049061,4.04760602024531,3.3259644665257078,3.348135766599498,3.359743947711233
3.825000047683716,3.685499906539917,3.70425009727478,3.720351424021304,3.708734251527509,3.707239533443266,52.68110593776016,47.32187150153101,44.22316429661052,0.0482470069639324,0.0451958624698605,0.0437860537941534,4.047114220049061,4.04760602024531,4.049566545061754,3.348135766599498,3.359743947711233,3.3651334385350475
3.685499906539917,3.70425009727478,3.661250114440918,3.708734251527509,3.707239533443266,3.69190972710915,47.32187150153101,44.22316429661052,48.328052936204585,0.0451958624698605,0.0437860537941534,0.0387523184085578,4.04760602024531,4.049566545061754,4.047135129293372,3.359743947711233,3.3651334385350475,3.3616148564015127
3.70425009727478,3.661250114440918,3.779249906539917,3.707239533443266,3.69190972710915,3.721023120252739,44.22316429661052,48.328052936204585,51.27751923355585,0.0437860537941534,0.0387523184085578,0.0437799755997221,4.049566545061754,4.047135129293372,4.0487787456221405,3.3651334385350475,3.3616148564015127,3.361796238928336
3.661250114440918,3.779249906539917,3.822000026702881,3.69190972710915,3.721023120252739,3.754682089069453,48.328052936204585,51.27751923355585,46.2840852128177,0.0387523184085578,0.0437799755997221,0.0506303721516721,4.047135129293372,4.0487787456221405,4.056083789997567,3.3616148564015127,3.361796238928336,3.36201618558837
3.779249906539917,3.822000026702881,3.8632500171661377,3.721023120252739,3.754682089069453,3.790871398435015,51.27751923355585,46.2840852128177,45.74758431638892,0.0437799755997221,0.0506303721516721,0.0587111051891389,4.0487787456221405,4.056083789997567,4.069991851358322,3.361796238928336,3.36201618558837,3.36233313033113
3.822000026702881,3.8632500171661377,3.933500051498413,3.754682089069453,3.790871398435015,3.838414282789481,46.2840852128177,45.74758431638892,70.67379776887186,0.0506303721516721,0.0587111051891389,0.0699770827556647,4.056083789997567,4.069991851358322,4.088822307588755,3.36201618558837,3.36233313033113,3.357552680967153
3.8632500171661377,3.933500051498413,3.9159998893737793,3.790871398435015,3.838414282789481,3.864276151650914,45.74758431638892,70.67379776887186,80.50680422126165,0.0587111051891389,0.0699770827556647,0.0766102193946447,4.069991851358322,4.088822307588755,4.087638102443925,3.36233313033113,3.357552680967153,3.358011879054794
3.933500051498413,3.9159998893737793,3.963749885559082,3.838414282789481,3.864276151650914,3.897434062953637,70.67379776887186,80.50680422126165,78.47145265891788,0.0699770827556647,0.0766102193946447,0.0847431868913104,4.088822307588755,4.087638102443925,4.115413772330697,3.357552680967153,3.358011879054794,3.354686201347891
3.9159998893737793,3.963749885559082,3.89424991607666,3.864276151650914,3.897434062953637,3.896372680661312,80.50680422126165,78.47145265891788,67.89754396328442,0.0766102193946447,0.0847431868913104,0.0846052785394864,4.087638102443925,4.115413772330697,4.130105298207796,3.358011879054794,3.354686201347891,3.356194669558012
3.963749885559082,3.89424991607666,3.979749917984009,3.897434062953637,3.896372680661312,3.9241650931022103,78.47145265891788,67.89754396328442,70.07217155113368,0.0847431868913104,0.0846052785394864,0.0903535809397602,4.115413772330697,4.130105298207796,4.135791201961509,3.354686201347891,3.356194669558012,3.3538837476844874
3.89424991607666,3.979749917984009,3.967250108718872,3.896372680661312,3.9241650931022103,3.9385267649744313,67.89754396328442,70.07217155113368,64.82694101078155,0.0846052785394864,0.0903535809397602,0.0928304304465772,4.130105298207796,4.135791201961509,4.12918889456965,3.356194669558012,3.3538837476844874,3.356836081207022
3.979749917984009,3.967250108718872,3.927500009536743,3.9241650931022103,3.9385267649744313,3.934851179828536,70.07217155113368,64.82694101078155,60.86956269601203,0.0903535809397602,0.0928304304465772,0.090542137328311,4.135791201961509,4.12918889456965,4.135461301271357,3.3538837476844874,3.356836081207022,3.3982886844235285
