Close_5,Close_4,Close_3,Close_2,Close_1,Volume_5,Volume_4,Volume_3,Volume_2,Volume_1,Action
135.67999267578125,131.74000549316406,137.9499969482422,138.0500030517578,142.52999877929688,28146200,22717900,29002100,20089300,26263800,2
131.74000549316406,137.9499969482422,138.0500030517578,142.52999877929688,144.22999572753906,22717900,29002100,20089300,26263800,22205900,1
137.9499969482422,138.0500030517578,142.52999877929688,144.22999572753906,144.1999969482422,29002100,20089300,26263800,22205900,16125000,-1
138.0500030517578,142.52999877929688,144.22999572753906,144.1999969482422,143.8000030517578,20089300,26263800,22205900,16125000,12908000,-1
142.52999877929688,144.22999572753906,144.1999969482422,143.8000030517578,145.38999938964844,26263800,22205900,16125000,12908000,20520300,1
144.22999572753906,144.1999969482422,143.8000030517578,145.38999938964844,148.9499969482422,22205900,16125000,12908000,20520300,24069000,2
144.1999969482422,143.8000030517578,145.38999938964844,148.9499969482422,147.5399932861328,16125000,12908000,20520300,24069000,18025700,-1
143.8000030517578,145.38999938964844,148.9499969482422,147.5399932861328,148.3000030517578,12908000,20520300,24069000,18025700,15787900,0
145.38999938964844,148.9499969482422,147.5399932861328,148.3000030517578,150.0399932861328,20520300,24069000,18025700,15787900,31029600,1
148.9499969482422,147.5399932861328,148.3000030517578,150.0399932861328,147.57000732421875,24069000,18025700,15787900,31029600,22378700,-1
147.5399932861328,148.3000030517578,150.0399932861328,147.57000732421875,144.3000030517578,18025700,15787900,31029600,22378700,20098400,-1
148.3000030517578,150.0399932861328,147.57000732421875,144.3000030517578,145.8300018310547,15787900,31029600,22378700,20098400,20955500,1
150.0399932861328,147.57000732421875,144.3000030517578,145.8300018310547,149.00999450683594,31029600,22378700,20098400,20955500,22237200,2
147.57000732421875,144.3000030517578,145.8300018310547,149.00999450683594,147.47000122070312,22378700,20098400,20955500,22237200,15508500,-1
144.3000030517578,145.8300018310547,149.00999450683594,147.47000122070312,144.19000244140625,20098400,20955500,22237200,15508500,17632100,-1
145.8300018310547,149.00999450683594,147.47000122070312,144.19000244140625,150.4199981689453,20955500,22237200,15508500,17632100,44613200,2
149.00999450683594,147.47000122070312,144.19000244140625,150.4199981689453,166.69000244140625,22237200,15508500,17632100,44613200,77233600,2
147.47000122070312,144.19000244140625,150.4199981689453,166.69000244140625,165.7100067138672,15508500,17632100,44613200,77233600,30806500,-1
144.19000244140625,150.4199981689453,166.69000244140625,165.7100067138672,169.25,17632100,44613200,77233600,30806500,20036000,2
150.4199981689453,166.69000244140625,165.7100067138672,169.25,171.16000366210938,44613200,77233600,30806500,20036000,22557000,1
166.69000244140625,165.7100067138672,169.25,171.16000366210938,170.49000549316406,77233600,30806500,20036000,22557000,13281200,-1
165.7100067138672,169.25,171.16000366210938,170.49000549316406,166.3800048828125,30806500,20036000,22557000,13281200,17517600,-1
169.25,171.16000366210938,170.49000549316406,166.3800048828125,167.3300018310547,20036000,22557000,13281200,17517600,12561400,0
171.16000366210938,170.49000549316406,166.3800048828125,167.3300018310547,165.7899932861328,22557000,13281200,17517600,12561400,12811200,-1
170.49000549316406,166.3800048828125,167.3300018310547,165.7899932861328,165.0399932861328,13281200,17517600,12561400,12811200,16292300,-1
166.3800048828125,167.3300018310547,165.7899932861328,165.0399932861328,164.07000732421875,17517600,12561400,12811200,16292300,14205100,-1
167.3300018310547,165.7899932861328,165.0399932861328,164.07000732421875,163.9499969482422,12561400,12811200,16292300,14205100,12755200,-1
165.7899932861328,165.0399932861328,164.07000732421875,163.9499969482422,162.5,12811200,16292300,14205100,12755200,15504400,-1
165.0399932861328,164.07000732421875,163.9499969482422,162.5,162.2899932861328,16292300,14205100,12755200,15504400,14345400,-1
164.07000732421875,163.9499969482422,162.5,162.2899932861328,162.55999755859375,14205100,12755200,15504400,14345400,11770700,0
163.9499969482422,162.5,162.2899932861328,162.55999755859375,160.0399932861328,12755200,15504400,14345400,11770700,15607800,-1
162.5,162.2899932861328,162.55999755859375,160.0399932861328,161.88999938964844,15504400,14345400,11770700,15607800,15858500,1
162.2899932861328,162.55999755859375,160.0399932861328,161.88999938964844,164.6199951171875,14345400,11770700,15607800,15858500,18737100,2
162.55999755859375,160.0399932861328,161.88999938964844,164.6199951171875,164.1300048828125,11770700,15607800,15858500,18737100,13784100,-1
160.0399932861328,161.88999938964844,164.6199951171875,164.1300048828125,162.80999755859375,15607800,15858500,18737100,13784100,12697500,-1
161.88999938964844,164.6199951171875,164.1300048828125,162.80999755859375,161.4499969482422,15858500,18737100,13784100,12697500,11114200,-1
164.6199951171875,164.1300048828125,162.80999755859375,161.4499969482422,162.27999877929688,18737100,13784100,12697500,11114200,11097800,0
164.1300048828125,162.80999755859375,161.4499969482422,162.27999877929688,167.3699951171875,13784100,12697500,11114200,11097800,18894700,2
162.80999755859375,161.4499969482422,162.27999877929688,167.3699951171875,171.25999450683594,12697500,11114200,11097800,18894700,28187900,2
161.4499969482422,162.27999877929688,167.3699951171875,171.25999450683594,172.50999450683594,11114200,11097800,18894700,28187900,21531700,1
162.27999877929688,167.3699951171875,171.25999450683594,172.50999450683594,169.1300048828125,11097800,18894700,28187900,21531700,18306500,-1
167.3699951171875,171.25999450683594,172.50999450683594,169.1300048828125,169.60000610351562,18894700,28187900,21531700,18306500,13184800,0
171.25999450683594,172.50999450683594,169.1300048828125,169.60000610351562,172.07000732421875,28187900,21531700,18306500,13184800,18884000,2
172.50999450683594,169.1300048828125,169.60000610351562,172.07000732421875,171.9199981689453,21531700,18306500,13184800,18884000,12155300,-1
