Close_5,Close_4,Close_3,Close_2,Close_1,Volume_5,Volume_4,Volume_3,Volume_2,Volume_1,Action
52.29249954223633,50.803001403808594,53.53549957275391,53.41949844360352,53.81399917602539,30652000,36822000,41878000,39638000,35298000,0
50.803001403808594,53.53549957275391,53.41949844360352,53.81399917602539,53.733001708984375,36822000,41878000,39638000,35298000,23986000,-1
53.53549957275391,53.41949844360352,53.81399917602539,53.733001708984375,53.51649856567383,41878000,39638000,35298000,23986000,29128000,-1
53.41949844360352,53.81399917602539,53.733001708984375,53.51649856567383,52.859500885009766,39638000,35298000,23986000,29128000,30416000,-1
53.81399917602539,53.733001708984375,53.51649856567383,52.859500885009766,52.234500885009766,35298000,23986000,29128000,30416000,22886000,-1
53.733001708984375,53.51649856567383,52.859500885009766,52.234500885009766,53.85749816894531,23986000,29128000,30416000,22886000,29272000,1
53.51649856567383,52.859500885009766,52.234500885009766,53.85749816894531,54.04850006103516,29128000,30416000,22886000,29272000,26636000,0
52.859500885009766,52.234500885009766,53.85749816894531,54.04850006103516,54.494998931884766,30416000,22886000,29272000,26636000,24854000,0
52.234500885009766,53.85749816894531,54.04850006103516,54.494998931884766,54.91299819946289,22886000,29272000,26636000,24854000,39112000,0
53.85749816894531,54.04850006103516,54.494998931884766,54.91299819946289,53.5260009765625,29272000,26636000,24854000,39112000,32270000,-1
54.04850006103516,54.494998931884766,54.91299819946289,53.5260009765625,53.77849960327149,26636000,24854000,39112000,32270000,19340000,0
54.494998931884766,54.91299819946289,53.5260009765625,53.77849960327149,53.69499969482422,24854000,39112000,32270000,19340000,27226000,-1
54.91299819946289,53.5260009765625,53.77849960327149,53.69499969482422,54.54949951171875,39112000,32270000,19340000,27226000,22382000,0
53.5260009765625,53.77849960327149,53.69499969482422,54.54949951171875,53.50400161743164,32270000,19340000,27226000,22382000,25686000,-1
53.77849960327149,53.69499969482422,54.54949951171875,53.50400161743164,53.03099822998047,19340000,27226000,22382000,25686000,20436000,-1
53.69499969482422,54.54949951171875,53.50400161743164,53.03099822998047,54.45299911499024,27226000,22382000,25686000,20436000,25596000,1
54.54949951171875,53.50400161743164,53.03099822998047,54.45299911499024,55.81850051879883,22382000,25686000,20436000,25596000,30766000,1
53.50400161743164,53.03099822998047,54.45299911499024,55.81850051879883,55.53749847412109,25686000,20436000,25596000,30766000,29244000,-1
53.03099822998047,54.45299911499024,55.81850051879883,55.53749847412109,56.63999938964844,20436000,25596000,30766000,29244000,51530000,1
54.45299911499024,55.81850051879883,55.53749847412109,56.63999938964844,57.29949951171875,25596000,30766000,29244000,51530000,71044000,0
55.81850051879883,55.53749847412109,56.63999938964844,57.29949951171875,55.76150131225586,30766000,29244000,51530000,71044000,42112000,-1
55.53749847412109,56.63999938964844,57.29949951171875,55.76150131225586,54.93550109863281,29244000,51530000,71044000,42112000,40896000,-1
56.63999938964844,57.29949951171875,55.76150131225586,54.93550109863281,54.75299835205078,51530000,71044000,42112000,40896000,21516000,-1
57.29949951171875,55.76150131225586,54.93550109863281,54.75299835205078,54.7504997253418,71044000,42112000,40896000,21516000,21304000,-1
55.76150131225586,54.93550109863281,54.75299835205078,54.7504997253418,56.06850051879883,42112000,40896000,21516000,21304000,32182000,1
54.93550109863281,54.75299835205078,54.7504997253418,56.06850051879883,56.007999420166016,40896000,21516000,21304000,32182000,20996000,-1
54.75299835205078,54.7504997253418,56.06850051879883,56.007999420166016,56.08349990844727,21516000,21304000,32182000,20996000,18952000,0
54.7504997253418,56.06850051879883,56.007999420166016,56.08349990844727,55.682498931884766,21304000,32182000,20996000,18952000,28996000,-1
56.06850051879883,56.007999420166016,56.08349990844727,55.682498931884766,55.928001403808594,32182000,20996000,18952000,28996000,20928000,0
56.007999420166016,56.08349990844727,55.682498931884766,55.928001403808594,55.68999862670898,20996000,18952000,28996000,20928000,21756000,-1
56.08349990844727,55.682498931884766,55.928001403808594,55.68999862670898,54.8484992980957,18952000,28996000,20928000,21756000,28302000,-1
55.682498931884766,55.928001403808594,55.68999862670898,54.8484992980957,55.51850128173828,28996000,20928000,21756000,28302000,20990000,0
55.928001403808594,55.68999862670898,54.8484992980957,55.51850128173828,55.470001220703125,20928000,21756000,28302000,20990000,28262000,-1
55.68999862670898,54.8484992980957,55.51850128173828,55.470001220703125,55.75650024414063,21756000,28302000,20990000,28262000,29426000,0
54.8484992980957,55.51850128173828,55.470001220703125,55.75650024414063,55.8025016784668,28302000,20990000,28262000,29426000,19368000,0
55.51850128173828,55.470001220703125,55.75650024414063,55.8025016784668,55.99599838256836,20990000,28262000,29426000,19368000,30850000,0
55.470001220703125,55.75650024414063,55.8025016784668,55.99599838256836,57.04949951171875,28262000,29426000,19368000,30850000,29006000,1
55.75650024414063,55.8025016784668,55.99599838256836,57.04949951171875,57.38999938964844,29426000,19368000,30850000,29006000,28920000,0
55.8025016784668,55.99599838256836,57.04949951171875,57.38999938964844,58.10150146484375,19368000,30850000,29006000,28920000,28864000,0
55.99599838256836,57.04949951171875,57.38999938964844,58.10150146484375,57.89300155639648,30850000,29006000,28920000,28864000,21986000,-1
57.04949951171875,57.38999938964844,58.10150146484375,57.89300155639648,57.165000915527344,29006000,28920000,28864000,21986000,23332000,-1
57.38999938964844,58.10150146484375,57.89300155639648,57.165000915527344,57.11600112915039,28920000,28864000,21986000,23332000,24248000,-1
58.10150146484375,57.89300155639648,57.165000915527344,57.11600112915039,58.78799819946289,28864000,21986000,23332000,24248000,34384000,1
