Closing_3,Closing_2,Closing_1,SMA_5_3,SMA_5_2,SMA_5_1,EMA_5_3,EMA_5_2,EMA_5_1,RSI_3,RSI_2,RSI_1,MACD_3,MACD_2,MACD_1,Signal_Line_3,Signal_Line_2,Signal_Line_1,BB_upper_3,BB_upper_2,BB_upper_1,BB_lower_3,BB_lower_2,BB_lower_1,Action
106.37999725341795,104.43000030517578,102.77999877929688,105.55399932861329,105.2,104.3220001220703,105.44523614370874,105.1068241975311,104.33121572478636,55.25137530504311,51.94198084545337,49.954985857112575,1.1086163965281486,0.9706089273484791,0.7197982935638265,1.1382851210562048,1.1047498823146598,1.0277595645644932,109.16181574953644,109.12586954184806,108.24479935687394,99.07918461667448,99.44613058022225,100.86520049053816,-1
104.43000030517578,102.77999877929688,105.73999786376952,105.2,104.3220001220703,104.45399932861328,105.1068241975311,104.33121572478636,104.80080977111407,51.94198084545337,49.954985857112575,57.55218393503987,0.9706089273484791,0.7197982935638265,0.7512166892908851,1.1047498823146598,1.0277595645644932,0.9724509895097716,109.12586954184806,108.24479935687394,108.25360282393696,99.44613058022225,100.86520049053816,101.23739677933452,2
102.77999877929688,105.73999786376952,107.22000122070312,104.3220001220703,104.45399932861328,105.30999908447264,104.33121572478636,104.80080977111407,105.60720692097708,49.954985857112575,57.55218393503987,54.814815061063406,0.7197982935638265,0.7512166892908851,0.8853343133989284,1.0277595645644932,0.9724509895097716,0.955027654287603,108.24479935687394,108.25360282393696,108.43822024325178,100.86520049053816,101.23739677933452,101.56877972623064,1
105.73999786376952,107.22000122070312,106.02999877929688,104.45399932861328,105.30999908447264,105.23999938964845,104.80080977111407,105.60720692097708,105.74813754041702,57.55218393503987,54.814815061063406,51.3672730704161,0.7512166892908851,0.8853343133989284,0.8853939744152939,0.9724509895097716,0.955027654287603,0.9411009183131412,108.25360282393696,108.43822024325178,108.4645642680311,101.23739677933452,101.56877972623064,101.86543527420524,-1
107.22000122070312,106.02999877929688,105.2699966430664,105.30999908447264,105.23999938964845,105.40799865722656,105.60720692097708,105.74813754041702,105.58875724130016,54.814815061063406,51.3672730704161,48.2135217667104,0.8853343133989284,0.8853939744152939,0.8147238065160849,0.955027654287603,0.9411009183131412,0.91582549595373,108.43822024325178,108.4645642680311,108.48765655834023,101.56877972623064,101.86543527420524,101.94234298389608,-1
106.02999877929688,105.2699966430664,105.66999816894533,105.23999938964845,105.40799865722656,105.98599853515626,105.74813754041702,105.58875724130016,105.6158375505152,51.3672730704161,48.2135217667104,45.48672333349203,0.8853939744152939,0.8147238065160849,0.7819797932005912,0.9411009183131412,0.91582549595373,0.8890563554031022,108.4645642680311,108.48765655834023,108.50592211120384,101.86543527420524,101.94234298389608,102.13107740051493,0
105.2699966430664,105.66999816894533,105.25,105.40799865722656,105.98599853515626,105.88799896240236,105.58875724130016,105.6158375505152,105.49389170034348,48.2135217667104,45.48672333349203,48.97570188437704,0.8147238065160849,0.7819797932005912,0.7139100736421113,0.91582549595373,0.8890563554031022,0.854027099050904,108.48765655834023,108.50592211120384,108.40108969274593,101.94234298389608,102.13107740051493,102.48090951379704,-1
105.66999816894533,105.25,106.88999938964844,105.98599853515626,105.88799896240236,105.8219985961914,105.6158375505152,105.49389170034348,105.9592609301118,45.48672333349203,48.97570188437704,50.41666740252653,0.7819797932005912,0.7139100736421113,0.783269531582306,0.8890563554031022,0.854027099050904,0.8398755855571844,108.50592211120384,108.40108969274593,108.2397077437141,102.13107740051493,102.48090951379704,103.12629109661792,1
105.25,106.88999938964844,106.80999755859376,105.88799896240236,105.8219985961914,105.97799835205078,105.49389170034348,105.9592609301118,106.24283980627249,48.97570188437704,50.41666740252653,51.44071956332614,0.7139100736421113,0.783269531582306,0.822302926276592,0.854027099050904,0.8398755855571844,0.836361053701066,108.40108969274593,108.2397077437141,108.35654217593812,102.48090951379704,103.12629109661792,103.18945620663024,-1
106.88999938964844,106.80999755859376,106.9000015258789,105.8219985961914,105.97799835205078,106.30399932861329,105.9592609301118,106.24283980627249,106.46189371280796,50.41666740252653,51.44071956332614,49.334655912066026,0.783269531582306,0.822302926276592,0.8506934759056577,0.8398755855571844,0.836361053701066,0.8392275381419844,108.2397077437141,108.35654217593812,108.47297634916508,103.12629109661792,103.18945620663024,103.2250224606494,0
106.80999755859376,106.9000015258789,108.22000122070312,105.97799835205078,106.30399932861329,106.81399993896484,106.24283980627249,106.46189371280796,107.047929548773,51.44071956332614,49.334655912066026,58.04302946305808,0.822302926276592,0.8506934759056577,0.9685413924283068,0.836361053701066,0.8392275381419844,0.865090308999249,108.35654217593812,108.47297634916508,108.78364198370625,103.18945620663024,103.2250224606494,103.12435667352032,1
106.9000015258789,108.22000122070312,108.16999816894533,106.30399932861329,106.81399993896484,107.3979995727539,106.46189371280796,107.047929548773,107.4219524221638,49.334655912066026,58.04302946305808,65.00284953160013,0.8506934759056577,0.9685413924283068,1.0458460249775785,0.8392275381419844,0.865090308999249,0.9012414521949148,108.47297634916508,108.78364198370625,108.87342917781984,103.2250224606494,103.12435667352032,103.08056938785398,-1
108.22000122070312,108.16999816894533,107.1500015258789,106.81399993896484,107.3979995727539,107.45,107.047929548773,107.4219524221638,107.33130212340218,58.04302946305808,65.00284953160013,52.56496925879546,0.9685413924283068,1.0458460249775785,1.0131266057333477,0.865090308999249,0.9012414521949148,0.9236184829026014,108.78364198370625,108.87342917781984,108.98948896039435,103.12435667352032,103.08056938785398,103.11150972734978,-1
