Close_5,Close_4,Close_3,Close_2,Close_1,Volume_5,Volume_4,Volume_3,Volume_2,Volume_1,Action
39.47999954223633,35.54750061035156,37.06499862670898,36.98249816894531,37.6875,148158800,365248800,234428400,219111200,164101200,0
35.54750061035156,37.06499862670898,36.98249816894531,37.6875,38.32749938964844,365248800,234428400,219111200,164101200,180396400,0
37.06499862670898,36.98249816894531,37.6875,38.32749938964844,38.45000076293945,234428400,219111200,164101200,180396400,143122800,0
36.98249816894531,37.6875,38.32749938964844,38.45000076293945,38.0724983215332,219111200,164101200,180396400,143122800,108092800,-1
37.6875,38.32749938964844,38.45000076293945,38.0724983215332,37.5,164101200,180396400,143122800,108092800,129756800,-1
38.32749938964844,38.45000076293945,38.0724983215332,37.5,38.26750183105469,180396400,143122800,108092800,129756800,114843600,0
38.45000076293945,38.0724983215332,37.5,38.26750183105469,38.73500061035156,143122800,108092800,129756800,114843600,122278800,0
38.0724983215332,37.5,38.26750183105469,38.73500061035156,38.96500015258789,108092800,129756800,114843600,122278800,119284800,0
37.5,38.26750183105469,38.73500061035156,38.96500015258789,39.20500183105469,129756800,114843600,122278800,119284800,135004000,0
38.26750183105469,38.73500061035156,38.96500015258789,39.20500183105469,38.32500076293945,114843600,122278800,119284800,135004000,121576000,-1
38.73500061035156,38.96500015258789,39.20500183105469,38.32500076293945,38.47999954223633,122278800,119284800,135004000,121576000,92522400,0
38.96500015258789,39.20500183105469,38.32500076293945,38.47999954223633,38.17499923706055,119284800,135004000,121576000,92522400,101766000,-1
39.20500183105469,38.32500076293945,38.47999954223633,38.17499923706055,39.43999862670898,135004000,121576000,92522400,101766000,134142000,1
38.32500076293945,38.47999954223633,38.17499923706055,39.43999862670898,39.07500076293945,121576000,92522400,101766000,134142000,104768400,-1
38.47999954223633,38.17499923706055,39.43999862670898,39.07500076293945,38.66999816894531,92522400,101766000,134142000,104768400,166348800,-1
38.17499923706055,39.43999862670898,39.07500076293945,38.66999816894531,41.3125,101766000,134142000,104768400,166348800,244439200,2
39.43999862670898,39.07500076293945,38.66999816894531,41.3125,41.61000061035156,134142000,104768400,166348800,244439200,162958400,0
39.07500076293945,38.66999816894531,41.3125,41.61000061035156,41.630001068115234,104768400,166348800,244439200,162958400,130672400,0
38.66999816894531,41.3125,41.61000061035156,41.630001068115234,42.8125,166348800,244439200,162958400,130672400,125982000,1
41.3125,41.61000061035156,41.630001068115234,42.8125,43.54499816894531,244439200,162958400,130672400,125982000,144406400,0
41.61000061035156,41.630001068115234,42.8125,43.54499816894531,43.560001373291016,162958400,130672400,125982000,144406400,112958400,0
41.630001068115234,42.8125,43.54499816894531,43.560001373291016,42.73500061035156,130672400,125982000,144406400,112958400,126966800,-1
42.8125,43.54499816894531,43.560001373291016,42.73500061035156,42.602500915527344,125982000,144406400,112958400,126966800,95280000,-1
43.54499816894531,43.560001373291016,42.73500061035156,42.602500915527344,42.35749816894531,144406400,112958400,126966800,95280000,83973600,-1
43.560001373291016,42.73500061035156,42.602500915527344,42.35749816894531,42.72249984741211,112958400,126966800,95280000,83973600,89134000,0
42.73500061035156,42.602500915527344,42.35749816894531,42.72249984741211,42.54499816894531,126966800,95280000,83973600,89134000,89960800,-1
42.602500915527344,42.35749816894531,42.72249984741211,42.54499816894531,42.70000076293945,95280000,83973600,89134000,89960800,87342800,0
42.35749816894531,42.72249984741211,42.54499816894531,42.70000076293945,42.60499954223633,83973600,89134000,89960800,87342800,98507200,-1
42.72249984741211,42.54499816894531,42.70000076293945,42.60499954223633,42.73249816894531,89134000,89960800,87342800,98507200,75891200,0
42.54499816894531,42.70000076293945,42.60499954223633,42.73249816894531,43.00749969482422,89960800,87342800,98507200,75891200,104457600,0
42.70000076293945,42.60499954223633,42.73249816894531,43.00749969482422,42.76499938964844,87342800,98507200,75891200,104457600,68998800,-1
42.60499954223633,42.73249816894531,43.00749969482422,42.76499938964844,43.24250030517578,98507200,75891200,104457600,68998800,75652800,0
42.73249816894531,43.00749969482422,42.76499938964844,43.24250030517578,43.557498931884766,75891200,104457600,68998800,75652800,87493600,0
43.00749969482422,42.76499938964844,43.24250030517578,43.557498931884766,43.58250045776367,104457600,68998800,75652800,87493600,68280800,0
42.76499938964844,43.24250030517578,43.557498931884766,43.58250045776367,43.71749877929688,68998800,75652800,87493600,68280800,111341600,0
43.24250030517578,43.557498931884766,43.58250045776367,43.71749877929688,43.28749847412109,75652800,87493600,68280800,111341600,112861600,-1
43.557498931884766,43.58250045776367,43.71749877929688,43.28749847412109,43.74250030517578,87493600,68280800,111341600,112861600,103544800,0
43.58250045776367,43.71749877929688,43.28749847412109,43.74250030517578,43.962501525878906,68280800,111341600,112861600,103544800,109744800,0
43.71749877929688,43.28749847412109,43.74250030517578,43.962501525878906,43.88249969482422,111341600,112861600,103544800,109744800,78949600,-1
43.28749847412109,43.74250030517578,43.962501525878906,43.88249969482422,43.630001068115234,112861600,103544800,109744800,78949600,83241600,-1
43.74250030517578,43.962501525878906,43.88249969482422,43.630001068115234,43.125,103544800,109744800,78949600,83241600,99185600,-1
43.962501525878906,43.88249969482422,43.630001068115234,43.125,43.227500915527344,109744800,78949600,83241600,99185600,95997600,0
43.88249969482422,43.630001068115234,43.125,43.227500915527344,44.72499847412109,78949600,83241600,99185600,95997600,128044000,1
43.630001068115234,43.125,43.227500915527344,44.72499847412109,45.227500915527344,83241600,99185600,95997600,128044000,129870400,0
43.125,43.227500915527344,44.72499847412109,45.227500915527344,45.4275016784668,99185600,95997600,128044000,129870400,124130000,0
43.227500915527344,44.72499847412109,45.227500915527344,45.4275016784668,45.932498931884766,95997600,128044000,129870400,124130000,94318000,0
44.72499847412109,45.227500915527344,45.4275016784668,45.932498931884766,46.52999877929688,128044000,129870400,124130000,94318000,156171600,0
45.227500915527344,45.4275016784668,45.932498931884766,46.52999877929688,47.005001068115234,129870400,124130000,94318000,156171600,104879200,0
45.4275016784668,45.932498931884766,46.52999877929688,47.005001068115234,46.63249969482422,124130000,94318000,156171600,104879200,126585600,-1
45.932498931884766,46.52999877929688,47.005001068115234,46.63249969482422,47.040000915527344,94318000,156171600,104879200,126585600,124140800,0
46.52999877929688,47.005001068115234,46.63249969482422,47.040000915527344,48.772499084472656,156171600,104879200,126585600,124140800,204136800,1
