Close_3,Close_2,Close_1,Volume_3,Volume_2,Volume_1,Action
39.47999954223633,35.54750061035156,37.06499862670898,148158800,365248800,234428400,1
35.54750061035156,37.06499862670898,36.98249816894531,365248800,234428400,219111200,-1
37.06499862670898,36.98249816894531,37.6875,234428400,219111200,164101200,0
36.98249816894531,37.6875,38.32749938964844,219111200,164101200,180396400,0
37.6875,38.32749938964844,38.45000076293945,164101200,180396400,143122800,0
38.32749938964844,38.45000076293945,38.0724983215332,180396400,143122800,108092800,-1
38.45000076293945,38.0724983215332,37.5,143122800,108092800,129756800,-1
38.0724983215332,37.5,38.26750183105469,108092800,129756800,114843600,0
37.5,38.26750183105469,38.73500061035156,129756800,114843600,122278800,0
38.26750183105469,38.73500061035156,38.96500015258789,114843600,122278800,119284800,0
38.73500061035156,38.96500015258789,39.20500183105469,122278800,119284800,135004000,0
38.96500015258789,39.20500183105469,38.32500076293945,119284800,135004000,121576000,-1
39.20500183105469,38.32500076293945,38.47999954223633,135004000,121576000,92522400,0
38.32500076293945,38.47999954223633,38.17499923706055,121576000,92522400,101766000,-1
38.47999954223633,38.17499923706055,39.43999862670898,92522400,101766000,134142000,1
38.17499923706055,39.43999862670898,39.07500076293945,101766000,134142000,104768400,-1
39.43999862670898,39.07500076293945,38.66999816894531,134142000,104768400,166348800,-1
39.07500076293945,38.66999816894531,41.3125,104768400,166348800,244439200,2
38.66999816894531,41.3125,41.61000061035156,166348800,244439200,162958400,0
41.3125,41.61000061035156,41.630001068115234,244439200,162958400,130672400,0
41.61000061035156,41.630001068115234,42.8125,162958400,130672400,125982000,1
41.630001068115234,42.8125,43.54499816894531,130672400,125982000,144406400,0
42.8125,43.54499816894531,43.560001373291016,125982000,144406400,112958400,0
43.54499816894531,43.560001373291016,42.73500061035156,144406400,112958400,126966800,-1
43.560001373291016,42.73500061035156,42.602500915527344,112958400,126966800,95280000,-1
42.73500061035156,42.602500915527344,42.35749816894531,126966800,95280000,83973600,-1
42.602500915527344,42.35749816894531,42.72249984741211,95280000,83973600,89134000,0
42.35749816894531,42.72249984741211,42.54499816894531,83973600,89134000,89960800,-1
42.72249984741211,42.54499816894531,42.70000076293945,89134000,89960800,87342800,0
42.54499816894531,42.70000076293945,42.60499954223633,89960800,87342800,98507200,-1
42.70000076293945,42.60499954223633,42.73249816894531,87342800,98507200,75891200,0
42.60499954223633,42.73249816894531,43.00749969482422,98507200,75891200,104457600,0
42.73249816894531,43.00749969482422,42.76499938964844,75891200,104457600,68998800,-1
43.00749969482422,42.76499938964844,43.24250030517578,104457600,68998800,75652800,0
42.76499938964844,43.24250030517578,43.557498931884766,68998800,75652800,87493600,0
43.24250030517578,43.557498931884766,43.58250045776367,75652800,87493600,68280800,0
43.557498931884766,43.58250045776367,43.71749877929688,87493600,68280800,111341600,0
43.58250045776367,43.71749877929688,43.28749847412109,68280800,111341600,112861600,-1
43.71749877929688,43.28749847412109,43.74250030517578,111341600,112861600,103544800,0
43.28749847412109,43.74250030517578,43.962501525878906,112861600,103544800,109744800,0
43.74250030517578,43.962501525878906,43.88249969482422,103544800,109744800,78949600,-1
43.962501525878906,43.88249969482422,43.630001068115234,109744800,78949600,83241600,-1
43.88249969482422,43.630001068115234,43.125,78949600,83241600,99185600,-1
43.630001068115234,43.125,43.227500915527344,83241600,99185600,95997600,0
43.125,43.227500915527344,44.72499847412109,99185600,95997600,128044000,1
43.227500915527344,44.72499847412109,45.227500915527344,95997600,128044000,129870400,0
44.72499847412109,45.227500915527344,45.4275016784668,128044000,129870400,124130000,0
45.227500915527344,45.4275016784668,45.932498931884766,129870400,124130000,94318000,0
45.4275016784668,45.932498931884766,46.52999877929688,124130000,94318000,156171600,0
45.932498931884766,46.52999877929688,47.005001068115234,94318000,156171600,104879200,0
46.52999877929688,47.005001068115234,46.63249969482422,156171600,104879200,126585600,-1
47.005001068115234,46.63249969482422,47.040000915527344,104879200,126585600,124140800,0
46.63249969482422,47.040000915527344,48.772499084472656,126585600,124140800,204136800,1
47.040000915527344,48.772499084472656,47.76250076293945,124140800,204136800,169630800,-1
48.772499084472656,47.76250076293945,47.185001373291016,204136800,169630800,175381200,-1
47.76250076293945,47.185001373291016,46.6974983215332,169630800,175381200,199202000,-1
47.185001373291016,46.6974983215332,47.11750030517578,175381200,199202000,119393600,0
46.6974983215332,47.11750030517578,47.18000030517578,199202000,119393600,83121600,0
47.11750030517578,47.18000030517578,47.48749923706055,119393600,83121600,94256000,0
47.18000030517578,47.48749923706055,47.810001373291016,83121600,94256000,111448000,0
47.48749923706055,47.810001373291016,48.505001068115234,94256000,111448000,91062800,0
47.810001373291016,48.505001068115234,48.837501525878906,111448000,91062800,93087200,0
48.505001068115234,48.837501525878906,48.92250061035156,91062800,93087200,76457200,0
48.837501525878906,48.92250061035156,49.25,93087200,76457200,74106400,0
48.92250061035156,49.25,50.025001525878906,76457200,74106400,103526800,0
49.25,50.025001525878906,49.875,74106400,103526800,143072800,-1
50.025001525878906,49.875,50.15499877929688,103526800,143072800,86781200,0
49.875,50.15499877929688,49.73749923706055,143072800,86781200,83603200,-1
50.15499877929688,49.73749923706055,49.71749877929688,86781200,83603200,111042800,-1
49.73749923706055,49.71749877929688,49.807498931884766,83603200,111042800,70146400,0
49.71749877929688,49.807498931884766,49.8125,111042800,70146400,102785600,0
49.807498931884766,49.8125,50.782501220703125,70146400,102785600,115627200,0
49.8125,50.782501220703125,50.96500015258789,102785600,115627200,96783200,0
50.782501220703125,50.96500015258789,51.13249969482422,115627200,96783200,77758000,0
