Date,Closing,Volume,SMA_5,EMA_5,RSI,MACD,Signal_Line,SMA_20,BB_upper,BB_lower
2019-01-30,106.37999725341795,49471900,105.55399932861329,105.44523614370874,55.25137530504311,1.1086163965281486,1.1382851210562048,104.12050018310546,109.16181574953644,99.07918461667448
2019-01-31,104.43000030517578,55636400,105.2,105.1068241975311,51.94198084545337,0.9706089273484793,1.1047498823146598,104.28600006103515,109.12586954184806,99.44613058022225
2019-02-01,102.77999877929688,35535700,104.3220001220703,104.33121572478636,49.954985857112575,0.7197982935638265,1.0277595645644932,104.55499992370605,108.24479935687394,100.86520049053816
2019-02-04,105.73999786376952,31315100,104.45399932861328,104.80080977111407,57.55218393503987,0.7512166892908851,0.9724509895097716,104.74549980163575,108.25360282393696,101.23739677933453
2019-02-05,107.22000122070312,27325400,105.30999908447265,105.60720692097709,54.814815061063406,0.8853343133989284,0.955027654287603,105.00349998474121,108.43822024325178,101.56877972623064
2019-02-06,106.02999877929688,20609800,105.23999938964843,105.74813754041702,51.367273070416104,0.8853939744152939,0.9411009183131411,105.16499977111816,108.4645642680311,101.86543527420523
2019-02-07,105.2699966430664,29760700,105.40799865722656,105.58875724130016,48.2135217667104,0.8147238065160849,0.91582549595373,105.21499977111816,108.48765655834023,101.94234298389608
2019-02-08,105.66999816894533,21461100,105.98599853515626,105.61583755051521,45.48672333349203,0.7819797932005912,0.8890563554031022,105.31849975585938,108.50592211120383,102.13107740051493
2019-02-11,105.25,18914100,105.88799896240235,105.49389170034348,48.97570188437704,0.7139100736421113,0.854027099050904,105.44099960327148,108.40108969274591,102.48090951379704
2019-02-12,106.88999938964844,25056600,105.8219985961914,105.95926093011181,50.41666740252653,0.783269531582306,0.8398755855571844,105.68299942016601,108.2397077437141,103.12629109661792
2019-02-13,106.80999755859376,18394900,105.97799835205078,106.24283980627247,51.44071956332614,0.822302926276592,0.836361053701066,105.77299919128419,108.35654217593812,103.18945620663025
2019-02-14,106.9000015258789,21784700,106.30399932861329,106.46189371280795,49.334655912066026,0.8506934759056577,0.8392275381419844,105.84899940490723,108.47297634916507,103.2250224606494
2019-02-15,108.22000122070312,26606900,106.81399993896484,107.04792954877301,58.043029463058076,0.9685413924283068,0.865090308999249,105.95399932861328,108.78364198370625,103.12435667352031
2019-02-19,108.16999816894533,18038500,107.3979995727539,107.4219524221638,65.00284953160013,1.0458460249775783,0.9012414521949148,105.97699928283691,108.87342917781984,103.08056938785398
2019-02-20,107.1500015258789,21607700,107.45,107.33130212340218,52.56496925879546,1.0131266057333477,0.9236184829026014,106.05049934387208,108.98948896039437,103.11150972734978
2019-02-21,109.41000366210938,29063200,107.97000122070312,108.0242026363046,66.25325879906873,1.156231201458013,0.9701410266136837,106.18549957275391,109.47873707626614,102.89226206924168
2019-02-22,110.97000122070312,27763200,108.78400115966797,109.00613549777077,76.8877102214777,1.3796180124525392,1.052036423781455,106.42399978637695,110.35148222002537,102.49651735272853
2019-02-25,111.58999633789062,23750600,109.45800018310547,109.8674224444774,72.69199103413459,1.5883723265691572,1.1593036043389955,106.64499969482422,111.19700328744173,102.09299610220671
2019-02-26,112.36000061035156,21536700,110.29600067138672,110.69828183310213,71.10014795252991,1.7952500094885409,1.2864928853689046,107.00899963378906,112.15907571700343,101.85892355057469
2019-02-27,112.16999816894533,21487100,111.3,111.18885394504987,77.45972733464093,1.921718084717881,1.4135379252387001,107.47049942016602,112.73817890668928,102.20281993364276
2019-02-28,112.02999877929688,29083900,111.8239990234375,111.46923555646555,82.00757014740763,1.9877347953704287,1.528377299265046,107.75299949645996,113.3689324252583,102.13706656766163
2019-03-01,112.52999877929688,23501200,112.13599853515625,111.82282329740933,82.17635203417049,2.056691080977174,1.6340400556074717,108.15799942016602,113.93099895789658,102.38499988243547
2019-03-04,112.26000213623048,26608000,112.26999969482422,111.96854957701639,83.34919463082397,2.06574039212272,1.7203801229105216,108.63199958801269,114.09413238149114,103.16986679453424
2019-03-05,111.6999969482422,19538300,112.13799896240235,111.87903203409167,75.50367715471577,2.0046163286835963,1.7772273640651366,108.92999954223633,114.37810117162246,103.4818979128502
2019-03-06,111.75,17687000,112.05399932861329,111.83602135606112,76.27658313840524,1.9378713220987578,1.809356155671861,109.15649948120117,114.68138800791064,103.63161095449169
2019-03-07,110.38999938964844,25339000,111.72599945068359,111.35401403392356,66.35424539465834,1.7550041449219123,1.7984857535218712,109.37449951171875,114.72115420559203,104.02784481784548
