Date,AAPL,TSLA,MSFT,META,GOOG
2018-01-02,43.064998626708984,21.368667602539062,85.94999694824219,181.4199981689453,53.25
2018-01-03,43.057498931884766,21.149999618530273,86.3499984741211,184.6699981689453,54.124000549316406
2018-01-04,43.25749969482422,20.974666595458984,87.11000061035156,184.3300018310547,54.31999969482422
2018-01-05,43.75,21.10533332824707,88.19000244140625,186.85000610351562,55.11149978637695
2018-01-08,43.587501525878906,22.42733383178711,88.27999877929688,188.27999877929688,55.34700012207031
2018-01-09,43.58250045776367,22.246000289916992,88.22000122070312,187.8699951171875,55.3129997253418
2018-01-10,43.5724983215332,22.31999969482422,87.81999969482422,187.83999633789062,55.13050079345703
2018-01-11,43.81999969482422,22.530000686645508,88.08000183105469,187.77000427246094,55.2760009765625
2018-01-12,44.272499084472656,22.4146671295166,89.5999984741211,179.3699951171875,56.112998962402344
2018-01-16,44.04750061035156,22.67066764831543,88.3499984741211,178.38999938964844,56.0880012512207
2018-01-17,44.775001525878906,23.143999099731445,90.13999938964844,177.60000610351562,56.5989990234375
2018-01-18,44.814998626708984,22.971332550048828,90.0999984741211,179.8000030517578,56.489498138427734
2018-01-19,44.6150016784668,23.334667205810547,90.0,181.2899932861328,56.8754997253418
2018-01-22,44.25,23.437332153320312,91.61000061035156,185.3699951171875,57.79050064086914
2018-01-23,44.2599983215332,23.519332885742188,91.9000015258789,189.35000610351562,58.49850082397461
2018-01-24,43.55500030517578,23.05933380126953,91.81999969482422,186.5500030517578,58.21200180053711
2018-01-25,42.77750015258789,22.50933265686035,92.33000183105469,187.47999572753906,58.51850128173828
2018-01-26,42.877498626708984,22.856666564941406,94.05999755859375,190.0,58.79199981689453
2018-01-29,41.9900016784668,23.302000045776367,93.91999816894531,185.97999572753906,58.77899932861328
2018-01-30,41.74250030517578,23.05466651916504,92.73999786376953,187.1199951171875,58.18450164794922
2018-01-31,41.85749816894531,23.62066650390625,95.01000213623047,186.88999938964844,58.49700164794922
2018-02-01,41.94499969482422,23.28333282470703,94.26000213623047,193.08999633789062,58.3849983215332
2018-02-02,40.125,22.916667938232422,91.77999877929688,190.27999877929688,55.595001220703125
2018-02-05,39.122501373291016,22.208667755126953,88.0,181.25999450683594,52.790000915527344
2018-02-06,40.75749969482422,22.264667510986328,91.33000183105469,185.30999755859375,54.029998779296875
2018-02-07,39.8849983215332,23.0,89.61000061035156,180.17999267578125,52.42900085449219
2018-02-08,38.787498474121094,21.01533317565918,85.01000213623047,171.5800018310547,50.07600021362305
2018-02-09,39.102500915527344,20.69466781616211,88.18000030517578,176.11000061035156,51.888999938964844
2018-02-12,40.6775016784668,21.048667907714844,89.12999725341797,176.41000366210938,52.59700012207031
2018-02-13,41.084999084472656,21.577333450317383,89.83000183105469,173.14999389648438,52.60499954223633
2018-02-14,41.842498779296875,21.487333297729492,90.80999755859375,179.52000427246094,53.48500061035156
2018-02-15,43.247501373291016,22.271333694458008,92.66000366210938,179.9600067138672,54.47600173950195
2018-02-16,43.10749816894531,22.365999221801758,92.0,177.36000061035156,54.7400016784668
2018-02-20,42.962501525878906,22.31800079345703,92.72000122070312,176.00999450683594,55.12300109863281
2018-02-21,42.76750183105469,22.219999313354492,91.48999786376953,177.91000366210938,55.56700134277344
2018-02-22,43.125,23.077999114990234,91.7300033569336,178.99000549316406,55.33150100708008
2018-02-23,43.875,23.469999313354492,94.05999755859375,183.2899932861328,56.339500427246094
2018-02-26,44.74250030517578,23.827999114990234,95.41999816894531,184.92999267578125,57.1875
2018-02-27,44.59749984741211,23.39933204650879,94.19999694824219,181.4600067138672,55.91450119018555
2018-02-28,44.529998779296875,22.87066650390625,93.7699966430664,178.32000732421875,55.23649978637695
2018-03-01,43.75,22.062000274658203,92.8499984741211,175.94000244140625,53.47600173950195
2018-03-02,44.0525016784668,22.341333389282227,93.05000305175781,176.6199951171875,53.94599914550781
2018-03-05,44.20500183105469,22.22333335876465,93.63999938964844,180.39999389648438,54.54650115966797
2018-03-06,44.16749954223633,21.8799991607666,93.31999969482422,179.77999877929688,54.75299835205078
2018-03-07,43.75749969482422,22.15333366394043,93.86000061035156,183.7100067138672,55.481998443603516
2018-03-08,44.23500061035156,21.940000534057617,94.43000030517578,182.33999633789062,56.29999923706055
2018-03-09,44.994998931884766,21.81133270263672,96.54000091552734,185.22999572753906,58.00199890136719
2018-03-12,45.43000030517578,23.034000396728516,96.7699966430664,184.75999450683594,58.224998474121094
2018-03-13,44.99250030517578,22.78933334350586,94.41000366210938,181.8800048828125,56.90850067138672
2018-03-14,44.61000061035156,21.775333404541016,93.8499984741211,184.19000244140625,57.4744987487793
2018-03-15,44.662498474121094,21.706666946411133,94.18000030517578,183.86000061035156,57.479000091552734
2018-03-16,44.505001068115234,21.42333221435547,94.5999984741211,185.08999633789062,56.7864990234375
2018-03-19,43.82500076293945,20.90399932861328,92.88999938964844,172.55999755859375,54.99100112915039
2018-03-20,43.810001373291016,20.703332901000977,93.12999725341797,168.14999389648438,54.885501861572266
2018-03-21,42.817501068115234,21.101999282836914,92.4800033569336,169.38999938964844,54.54399871826172
2018-03-22,42.212501525878906,20.606666564941406,89.79000091552734,164.88999938964844,52.45399856567383
2018-03-23,41.23500061035156,20.1026668548584,87.18000030517578,159.38999938964844,51.07849884033203
2018-03-26,43.192501068115234,20.278667449951172,93.77999877929688,160.05999755859375,52.660499572753906
2018-03-27,42.084999084472656,18.61199951171875,89.47000122070312,152.22000122070312,50.255001068115234
2018-03-28,41.619998931884766,17.185333251953125,89.38999938964844,153.02999877929688,50.22800064086914
