Date,Open Price,Closing Price,Volume
2019-01-02,128.99000549316406,135.67999267578125,28146200
2019-01-03,134.69000244140625,131.74000549316406,22717900
2019-01-04,134.00999450683594,137.9499969482422,29002100
2019-01-07,137.55999755859375,138.0500030517578,20089300
2019-01-08,139.88999938964844,142.52999877929688,26263800
2019-01-09,142.9499969482422,144.22999572753906,22205900
2019-01-10,143.0800018310547,144.1999969482422,16125000
2019-01-11,143.14999389648438,143.8000030517578,12908000
2019-01-14,142.0,145.38999938964844,20520300
2019-01-15,146.00999450683594,148.9499969482422,24069000
2019-01-16,149.0,147.5399932861328,18025700
2019-01-17,146.9499969482422,148.3000030517578,15787900
2019-01-18,149.75,150.0399932861328,31029600
2019-01-22,149.1999969482422,147.57000732421875,22378700
2019-01-23,148.27999877929688,144.3000030517578,20098400
2019-01-24,144.63999938964844,145.8300018310547,20955500
2019-01-25,147.47999572753906,149.00999450683594,22237200
2019-01-28,148.0500030517578,147.47000122070312,15508500
2019-01-29,148.08999633789062,144.19000244140625,17632100
2019-01-30,146.22000122070312,150.4199981689453,44613200
2019-01-31,165.60000610351562,166.69000244140625,77233600
2019-02-01,165.83999633789062,165.7100067138672,30806500
2019-02-04,165.6999969482422,169.25,20036000
2019-02-05,169.14999389648438,171.16000366210938,22557000
2019-02-06,171.1999969482422,170.49000549316406,13281200
2019-02-07,168.1999969482422,166.3800048828125,17517600
2019-02-08,164.47000122070312,167.3300018310547,12561400
2019-02-11,167.89999389648438,165.7899932861328,12811200
2019-02-12,166.86000061035156,165.0399932861328,16292300
2019-02-13,165.3800048828125,164.07000732421875,14205100
2019-02-14,163.19000244140625,163.9499969482422,12755200
2019-02-15,164.50999450683594,162.5,15504400
2019-02-19,160.5,162.2899932861328,14345400
2019-02-20,162.25,162.55999755859375,11770700
2019-02-21,161.92999267578125,160.0399932861328,15607800
2019-02-22,160.5800018310547,161.88999938964844,15858500
2019-02-25,163.07000732421875,164.6199951171875,18737100
2019-02-26,164.33999633789062,164.1300048828125,13784100
2019-02-27,162.89999389648438,162.80999755859375,12697500
2019-02-28,162.3699951171875,161.4499969482422,11114200
2019-03-01,162.60000610351562,162.27999877929688,11097800
2019-03-04,163.89999389648438,167.3699951171875,18894700
2019-03-05,167.3699951171875,171.25999450683594,28187900
2019-03-06,172.89999389648438,172.50999450683594,21531700
2019-03-07,171.5,169.1300048828125,18306500
2019-03-08,166.1999969482422,169.60000610351562,13184800
2019-03-11,171.60000610351562,172.07000732421875,18884000
2019-03-12,172.08999633789062,171.9199981689453,12155300
2019-03-13,172.32000732421875,173.3699951171875,11973300
2019-03-14,169.75999450683594,170.1699981689453,18037400
2019-03-15,167.16000366210938,165.97999572753906,37135400
2019-03-18,163.57000732421875,160.47000122070312,37524200
2019-03-19,161.47999572753906,161.57000732421875,25611500
2019-03-20,161.5,165.44000244140625,20211500
2019-03-21,164.88999938964844,166.0800018310547,16223000
2019-03-22,165.64999389648438,164.33999633789062,16389200
2019-03-25,163.0,166.2899932861328,12631200
2019-03-26,167.35000610351562,167.67999267578125,15437900
2019-03-27,167.85000610351562,165.8699951171875,10620300
2019-03-28,164.57000732421875,165.5500030517578,10443000
2019-03-29,166.38999938964844,166.69000244140625,13455500
2019-04-01,167.8300018310547,168.6999969482422,10381500
2019-04-02,170.13999938964844,174.1999969482422,23946500
2019-04-03,174.5,173.5399932861328,27391100
2019-04-04,176.02000427246094,176.02000427246094,17847700
2019-04-05,176.8800048828125,175.72000122070312,9594100
2019-04-08,175.2100067138672,174.92999267578125,7297400
2019-04-09,175.6199951171875,177.5800018310547,19751000
2019-04-10,178.17999267578125,177.82000732421875,11701500
2019-04-11,178.24000549316406,177.50999450683594,8071000
2019-04-12,178.0,179.10000610351562,12329800
2019-04-15,178.5,179.64999389648438,10834800
2019-04-16,179.0,178.8699951171875,11215200
2019-04-17,179.60000610351562,178.77999877929688,9973700
2019-04-18,178.8000030517578,178.27999877929688,11655600
2019-04-22,178.25,181.44000244140625,13389900
2019-04-23,182.74000549316406,183.77999877929688,19954800
2019-04-24,184.49000549316406,182.5800018310547,37289900
2019-04-25,196.97999572753906,193.25999450683594,54148800
2019-04-26,192.5,191.49000549316406,22075000
2019-04-29,190.9499969482422,194.77999877929688,19641300
2019-04-30,194.19000244140625,193.39999389648438,23494700
2019-05-01,194.77999877929688,193.02999877929688,15996600
2019-05-02,193.0,192.52999877929688,13209500
2019-05-03,194.3800048828125,195.47000122070312,14575400
2019-05-06,191.24000549316406,193.8800048828125,13994900
2019-05-07,192.5399932861328,189.77000427246094,16253000
2019-05-08,189.38999938964844,189.5399932861328,12505700
2019-05-09,187.1999969482422,188.64999389648438,12967000
2019-05-10,188.25,188.33999633789062,12578500
2019-05-13,183.5,181.5399932861328,16833300
2019-05-14,182.52000427246094,180.72999572753906,17628100
2019-05-15,180.4199981689453,186.27000427246094,16746900
2019-05-16,185.0500030517578,186.99000549316406,12953100
2019-05-17,184.83999633789062,185.3000030517578,10485400
2019-05-20,181.8800048828125,182.72000122070312,10352000
2019-05-21,184.57000732421875,184.82000732421875,7502800
2019-05-22,184.72999572753906,185.32000732421875,9213800
2019-05-23,182.4199981689453,180.8699951171875,12768800
2019-05-24,182.3300018310547,181.05999755859375,8807700
2019-05-28,181.5399932861328,184.30999755859375,14843300
2019-05-29,183.5,182.19000244140625,12797700
2019-05-30,183.0800018310547,183.00999450683594,8581500
2019-05-31,180.27999877929688,177.47000122070312,15226500
2019-06-03,175.0,164.14999389648438,56059600
2019-06-04,163.7100067138672,167.5,46044300
2019-06-05,167.47999572753906,168.1699981689453,19758300
2019-06-06,168.3000030517578,168.3300018310547,12446400
2019-06-07,170.1699981689453,173.35000610351562,16917300
2019-06-10,174.75,174.82000732421875,14767900
2019-06-11,178.47999572753906,178.10000610351562,15266600
2019-06-12,178.3800048828125,175.0399932861328,17699800
2019-06-13,175.52999877929688,177.47000122070312,12253600
2019-06-14,180.50999450683594,181.3300018310547,16773700
2019-06-17,185.00999450683594,189.00999450683594,29459900
2019-06-18,194.0,188.47000122070312,37571400
2019-06-19,187.0,187.47999572753906,21417100
2019-06-20,190.9499969482422,189.52999877929688,14635700
2019-06-21,188.75,191.13999938964844,22751200
2019-06-24,192.4199981689453,192.60000610351562,15509000
2019-06-25,192.8800048828125,188.83999633789062,16750300
2019-06-26,189.5399932861328,187.66000366210938,12808600
2019-06-27,189.8800048828125,189.5,11159000
2019-06-28,190.5500030517578,193.0,16378900
