Date,AAPL_Close,AAPL_Volume,TSLA_Close,TSLA_Volume,MSFT_Close,MSFT_Volume,META_Close,META_Volume,GOOG_Close,GOOG_Volume
2018-01-02,43.064998626708984,102223600,21.368667602539062,65283000,85.94999694824219,22483800,181.4199981689453,18151900,53.25,24752000
2018-01-03,43.057498931884766,118071600,21.149999618530273,67822500,86.3499984741211,26061400,184.6699981689453,16886600,54.124000549316406,28604000
2018-01-04,43.25749969482422,89738400,20.974666595458984,149194500,87.11000061035156,21912000,184.3300018310547,13880900,54.31999969482422,20092000
2018-01-05,43.75,94640000,21.10533332824707,68868000,88.19000244140625,23407100,186.85000610351562,13574500,55.11149978637695,25582000
2018-01-08,43.587501525878906,82271200,22.42733383178711,147891000,88.27999877929688,22113000,188.27999877929688,17994700,55.34700012207031,20952000
2018-01-09,43.58250045776367,86336000,22.246000289916992,107199000,88.22000122070312,19484300,187.8699951171875,12393100,55.3129997253418,18050000
2018-01-10,43.5724983215332,95839600,22.31999969482422,64648500,87.81999969482422,18652200,187.83999633789062,10529900,55.13050079345703,20856000
2018-01-11,43.81999969482422,74670800,22.530000686645508,99682500,88.08000183105469,17808900,187.77000427246094,9588600,55.2760009765625,19566000
2018-01-12,44.272499084472656,101672400,22.4146671295166,72376500,89.5999984741211,24271500,179.3699951171875,77551300,56.112998962402344,34410000
2018-01-16,44.04750061035156,118263600,22.67066764831543,97114500,88.3499984741211,36599700,178.38999938964844,36183800,56.0880012512207,31506000
2018-01-17,44.775001525878906,137547200,23.143999099731445,106552500,90.13999938964844,25621200,177.60000610351562,27992400,56.5989990234375,24052000
2018-01-18,44.814998626708984,124773600,22.971332550048828,85287000,90.0999984741211,24159700,179.8000030517578,23304900,56.489498138427734,23964000
2018-01-19,44.6150016784668,129700400,23.334667205810547,73324500,90.0,36875000,181.2899932861328,26826500,56.8754997253418,35564000
2018-01-22,44.25,108434400,23.437332153320312,93156000,91.61000061035156,23601600,185.3699951171875,21059500,57.79050064086914,32360000
2018-01-23,44.2599983215332,130756400,23.519332885742188,81981000,91.9000015258789,23412800,189.35000610351562,25678800,58.49850082397461,26662000
2018-01-24,43.55500030517578,204420400,23.05933380126953,79312500,91.81999969482422,33277500,186.5500030517578,24334500,58.21200180053711,28332000
2018-01-25,42.77750015258789,166116000,22.50933265686035,101104500,92.33000183105469,26383200,187.47999572753906,17377700,58.51850128173828,29610000
2018-01-26,42.877498626708984,156572000,22.856666564941406,68091000,94.05999755859375,29172200,190.0,17759200,58.79199981689453,40376000
2018-01-29,41.9900016784668,202561600,23.302000045776367,71206500,93.91999816894531,31569900,185.97999572753906,20453200,58.77899932861328,27578000
2018-01-30,41.74250030517578,184192800,23.05466651916504,70765500,92.73999786376953,38635100,187.1199951171875,20858600,58.18450164794922,31126000
2018-01-31,41.85749816894531,129915600,23.62066650390625,93211500,95.01000213623047,48756300,186.88999938964844,43275100,58.49700164794922,30774000
2018-02-01,41.94499969482422,188923200,23.28333282470703,62965500,94.26000213623047,47227900,193.08999633789062,54211300,58.3849983215332,48242000
2018-02-02,40.125,346375200,22.916667938232422,55572000,91.77999877929688,47867800,190.27999877929688,26677500,55.595001220703125,97158000
2018-02-05,39.122501373291016,290954000,22.208667755126953,66961500,88.0,51031500,181.25999450683594,33128200,52.790000915527344,75966000
2018-02-06,40.75749969482422,272975200,22.264667510986328,76326000,91.33000183105469,67998600,185.30999755859375,37758500,54.029998779296875,68960000
2018-02-07,39.8849983215332,206434400,23.0,104538000,89.61000061035156,41107600,180.17999267578125,27601900,52.42900085449219,47384000
2018-02-08,38.787498474121094,217562000,21.01533317565918,154719000,85.01000213623047,55628700,171.5800018310547,38478300,50.07600021362305,57182000
2018-02-09,39.102500915527344,282690400,20.69466781616211,194005500,88.18000030517578,63499100,176.11000061035156,39887600,51.888999938964844,70118000
2018-02-12,40.6775016784668,243278000,21.048667907714844,93417000,89.12999725341797,35720300,176.41000366210938,32092100,52.59700012207031,41154000
2018-02-13,41.084999084472656,130196800,21.577333450317383,68403000,89.83000183105469,26407700,173.14999389648438,21809400,52.60499954223633,25302000
2018-02-14,41.842498779296875,162579600,21.487333297729492,59260500,90.80999755859375,34960900,179.52000427246094,28929700,53.48500061035156,31116000
2018-02-15,43.247501373291016,204588800,22.271333694458008,88693500,92.66000366210938,27823900,179.9600067138672,20922100,54.47600173950195,36868000
2018-02-16,43.10749816894531,160704400,22.365999221801758,84639000,92.0,30596900,177.36000061035156,20645300,54.7400016784668,33590000
2018-02-20,42.962501525878906,135722000,22.31800079345703,60141000,92.72000122070312,30911700,176.00999450683594,21204900,55.12300109863281,28462000
2018-02-21,42.76750183105469,149886400,22.219999313354492,48294000,91.48999786376953,26922500,177.91000366210938,23200800,55.56700134277344,30258000
2018-02-22,43.125,123967600,23.077999114990234,104547000,91.7300033569336,24392800,178.99000549316406,18464200,55.33150100708008,26344000
